fatoOuFake, tituloNoticia, link
0,É #FAKE que 7,2 milhões de votos foram anulados pelas urnas no último domingo,https://g1.globo.com/fato-ou-fake/noticia/2018/10/10/e-fake-que-72-milhoes-de-votos-foram-anulados-pelas-urnas-no-ultimo-domingo.ghtml
0,É #FAKE que propaganda em que homem prega contra a intolerância em ônibus seja da campanha de Bolsonaro,https://g1.globo.com/fato-ou-fake/noticia/2018/10/10/e-fake-que-propaganda-em-que-homem-prega-contra-a-intolerancia-em-onibus-seja-da-campanha-de-bolsonaro.ghtml
0,É #FAKE que Datafolha faz pesquisa online sobre o 2º turno das eleições,https://g1.globo.com/fato-ou-fake/noticia/2018/10/09/e-fake-que-datafolha-faz-pesquisa-online-sobre-o-2o-turno-das-eleicoes.ghtml
0,É #FAKE mensagem que circula sobre a jornalista Miriam Leitão,https://g1.globo.com/fato-ou-fake/noticia/2018/10/09/e-fake-mensagem-que-circula-sobre-a-jornalista-miriam-leitao.ghtml
0,É #FAKE que Lula, em vídeo, relaciona o PT ao fascismo e ao nazismo, menos à democracia,https://g1.globo.com/fato-ou-fake/noticia/2018/10/09/e-fake-que-lula-em-video-relaciona-o-pt-ao-fascismo-e-ao-nazismo-menos-a-democracia.ghtml
0,É #FAKE que Exército disse que, se for verificada fraude nas urnas, eleição será anulada e novo pleito com papel convocado,https://g1.globo.com/fato-ou-fake/noticia/2018/10/09/e-fake-que-exercito-disse-que-se-for-verificada-fraude-nas-urnas-eleicao-sera-anulada-e-novo-pleito-com-papel-convocado.ghtml
0,É #FAKE que filho de Bolsonaro fez vídeo criticando nordestinos,https://g1.globo.com/fato-ou-fake/noticia/2018/10/09/e-fake-que-filho-de-bolsonaro-fez-video-criticando-nordestinos.ghtml
0,É #FAKE que Manuela D'Ávila disse que quer acabar com todos os feriados cristãos,https://g1.globo.com/fato-ou-fake/noticia/2018/10/09/e-fake-que-manuela-davila-disse-que-quer-acabar-com-todos-os-feriados-cristaos.ghtml
0,É #FAKE post atribuído a Fernando Gabeira em que ele diz que Bolsonaro 0,É 'limitado, mas 0,É patriota',https://g1.globo.com/fato-ou-fake/noticia/2018/10/09/e-fake-post-atribuido-a-fernando-gabeira-em-que-ele-diz-que-bolsonaro-e-limitado-mas-e-patriota.ghtml
0,É #FAKE que Haddad disse logo após o 1º turno que vai fazer Lula ser presidente do Brasil,https://g1.globo.com/fato-ou-fake/noticia/2018/10/09/e-fake-que-haddad-disse-apos-1o-turno-que-vai-fazer-lula-ser-presidente-do-brasil.ghtml
